2024-04-08,17:36:14,test,customer
2024-04-08,17:53:32,admin,admin
2024-04-08,17:54:23,admin,admin
2024-04-08,17:54:39,test,customer
2024-04-08,17:58:14,test,customer
2024-04-08,17:58:30,admin,admin
2024-04-08,18:09:53,test,customer
2024-04-08,18:10:26,test,customer
2024-04-08,18:10:33,admin,admin
2024-04-08,21:32:48,test,customer
2024-04-08,22:47:19,test,customer
2024-04-09,00:40:15,test,customer
2024-04-09,00:40:38,test,customer
2024-04-09,22:08:18,test,customer
2024-04-09,22:12:53,test,customer
2024-04-09,22:13:11,test,customer
2024-04-09,22:22:03,admin,admin
2024-05-06,16:27:45,test,customer
2024-05-10,11:29:57,test,customer
2024-05-10,13:26:20,test,customer
2024-05-10,13:27:01,test,customer
2024-05-10,13:27:35,test,customer
